Country,Sector,Sovereign / Non-Sovereign,Title,Commitment in UA,Status,Signature Date,country,Projects,Capacity (MW),Project,Capacity(MW),Name of Plant
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Algeria,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Algeria,,,,,
Multinational,Power,Sovereign,Multinational - Projet d’interconnexion électrique Cameroun- Tchad (composante Tchad),27500000.0,Implementation,07 Mar 2018,Algeria,,,,,
Madagascar,Power,Sovereign,Madagascar - Etude de faisabilité du projet de renforcement et d'interconnexion des réseaux de transport d'énergie électrique,1000000.0,Implementation,12 Feb 2018,Algeria,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Algeria,,,,,
Multinational,Power,Sovereign,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,30000000.0,Implementation,11 Jan 2018,Algeria,,,,,
Mali,Power,Sovereign,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),20000000.0,Implementation,11 Jan 2018,Algeria,,,,,
,,,,,,,Algeria,Belhirane Solar PV,10.0,,,
,,,,,,,Algeria,CEEG Tender Solar PV,1000.0,,,
,,,,,,,Algeria,Condor Bordj Bou Arréridj Solar PV,5.0,,,
,,,,,,,Algeria,Diffel Solar PV,50.0,,,
,,,,,,,Algeria,Guerara Solar PV,50.0,,,
,,,,,,,Algeria,Meggarine Solar PV,10.0,,,
,,,,,,,Algeria,Nakhla Solar PV,10.0,,,
,,,,,,,Algeria,Nezla Solar PV,10.0,,,
,,,,,,,Algeria,Tendala Solar PV,10.0,,,
Multinational,Power,Sovereign,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,36500000.0,Implementation,25 Jun 2018,Algeria,,,,,
Djibouti,Power,Sovereign,Djibouti – Geothermal Exploration Project in the Lake Assal Region,10740000.0,Implementation,08 May 2018,Algeria,,,,,
